en,ko
constitute,조성
redeem the time,시간을 구속하다
general subject,전체 주제
Anaheim,애나하임
life study,라이프스타디
message,메시지
composition,구성체
the Spirit (대문자 S),그 영
Young people,영피플
retreat,수련회
LAUSD,LA통합교육구(LAUSD)
Lord's interest,주님의 권익
FTTA,애나하임 전시간 훈련
FTTL,런던 전시간 훈련
FTTA Middle-Age,련FTTA 중년 훈련
Full-time training,전시간 훈련
Service,봉사
Character,성격
Peace,평강
mid-week,주중
meetings,집회
release of the word,말씀의 해방
in person,대면
serving ones,봉사자들
college meeting,대학생 집회
conference,특별 집회
young working saints,젊은 직장인 성도들
experience of life,생명의 체험
crucial dealings,중대한 행함
trainees,훈련생들
coordination,동역
enjoyment,누림
brothers,형제들
release,해방
burden,부담
blending,섞임
to usher in,가져오도록
Lord's return,주님의 다시 오심
tripartite,세 부분으로 된
atmosphere of blending,섞임의 분위기
irvine,얼바인
proper,합당한
district,지역
Ron Kangas,란 캔거스
full-timer,전시간 봉사자
faithfully,신실하게
Christ is all, 그리스도께서 모든 것이시다
Christ is in all, 그리스도께서 모든 것 안에 계시다
be sanctified, 거룩히 분별되다
lampstand,등잔대
announcement,광고
dispensing,분배
economy (God's economy),경륜
organic,유기적인
the Body of Christ,그리스도의 몸
building up,건축
edify,건축하다
edification,건축
consummate,완결하다
consummation,완결
the good land,좋은 땅
all-inclusive,모든 것을 포함하시는
life-giving Spirit,생명 주는 영
Triune God,삼일 하나님
presence,임재
inner man,속사람
steward,청지기
seeking ones,구도자들
shepherding,목양
raise up,일으키다
strengthen,강건하게 하다
organic salvation,유기적인 구원
preeminence,으뜸
minister (verb),공급하다
minister (noun),직사
ministers of the New Testament,신약의 직사들
supply,공급
function,기능
fellowship,교통
equip,성취하다
testimony,간증
the church in,에 있는 교회
local churches,지방 교회들
building material,건축 재료
gospel trip,복음 여행
tract,전도 소책자
saints,성도들
the rule of the heavens,하늘의 통치
Emmanuel,임마누엘
